age,m_yhl,m_life_remain
0,0.957946176,76.0975
1,0.950961234,75.5725
2,0.947163852,74.6075
3,0.936114069,73.63
4,0.932868297,72.645
5,0.934299335,71.655
6,0.932884693,70.6675
7,0.931483144,69.6775
8,0.926967972,68.6875
9,0.922135522,67.695
10,0.923138179,66.6975
11,0.924711807,65.7075
12,0.923961643,64.715
13,0.926269773,63.725
14,0.9238375,62.735
15,0.926169297,61.755
16,0.928125775,60.7825
17,0.922948736,59.8175
18,0.926635038,58.8575
19,0.91621172,57.9075
20,0.918140278,56.96
21,0.913757296,56.025
22,0.918126171,55.0925
23,0.909905306,54.17
24,0.912900945,53.25
25,0.910912507,52.33
26,0.905670375,51.41
27,0.901979927,50.49
28,0.903337403,49.5725
29,0.902779547,48.6525
30,0.894104931,47.7375
31,0.896510797,46.82
32,0.903469185,45.905
33,0.891605976,44.99
34,0.89799763,44.0775
35,0.895126084,43.165
36,0.896020526,42.25
37,0.888928158,41.34
38,0.890537074,40.4275
39,0.886409576,39.52
40,0.880744224,38.61
41,0.876654408,37.7025
42,0.877950383,36.8
43,0.873594541,35.8975
44,0.870178211,34.9975
45,0.866200942,34.1
46,0.862479774,33.2125
47,0.864480351,32.325
48,0.855212193,31.45
49,0.843696482,30.575
50,0.84783471,29.71
51,0.835351046,28.86
52,0.840560216,28.0125
53,0.824971733,27.1775
54,0.822640235,26.355
55,0.814742288,25.5375
56,0.813566531,24.735
57,0.797447876,23.94
58,0.803420127,23.1575
59,0.801117181,22.38
60,0.794246169,21.6175
61,0.79142647,20.8625
62,0.790056622,20.1175
63,0.784365261,19.3825
64,0.785874557,18.6525
65,0.799823815,17.9275
66,0.786718889,17.2125
67,0.793644696,16.5025
68,0.793452888,15.8
69,0.790381036,15.105
70,0.781425106,14.4225
71,0.785721218,13.7475
72,0.777065615,13.085
73,0.773040673,12.4375
74,0.768904687,11.8025
75,0.771681088,11.18
76,0.765120264,10.575
77,0.757060876,9.9875
78,0.744206743,9.4175
79,0.736179305,8.8625
80,0.716909325,8.3225
81,0.726744629,7.8025
82,0.696244438,7.3025
83,0.703273152,6.8225
84,0.719345067,6.3625
85,0.62928277,5.925
86,0.62928277,5.5075
87,0.62928277,5.11
88,0.62928277,4.7375
89,0.62928277,4.3925
90,0.62928277,4.07
91,0.62928277,3.77
92,0.62928277,3.495
93,0.62928277,3.245
94,0.62928277,3.0225
95,0.62928277,2.8275
96,0.62928277,2.655
97,0.62928277,2.505
98,0.62928277,2.3675
99,0.62928277,2.2475
100,0.62928277,2.13
101,0.62928277,2.02
102,0.62928277,1.91
103,0.62928277,1.8075
104,0.62928277,1.7075
105,0.62928277,1.61
106,0.62928277,1.5175
107,0.62928277,1.4275
108,0.62928277,1.3475
109,0.62928277,1.2675
110,0.62928277,1.1875
111,0.62928277,1.11
112,0.62928277,1.04
113,0.62928277,0.97
114,0.62928277,0.905
115,0.62928277,0.8425
116,0.62928277,0.7825
117,0.62928277,0.725
118,0.62928277,0.6675
119,0.62928277,0.6175
