age,f_life_remain,f_yhl
0,81.05,1
1,80.48,1
2,79.50999999999999,1
3,78.525,1
4,77.53999999999999,1
5,76.55,1
6,75.5575,1
7,74.565,1
8,73.575,1
9,72.58250000000001,1
10,71.5875,1
11,70.595,1
12,69.6025,1
13,68.6075,1
14,67.6175,1
15,66.63,1
16,65.645,1
17,64.6625,1
18,63.68,1
19,62.7025,1
20,61.7225,1
21,60.75,1
22,59.7775,1
23,58.8075,1
24,57.839999999999996,1
25,56.87,1
26,55.9025,1
27,54.935,1
28,53.97,1
29,53.01,1
30,52.0475,1
31,51.0875,1
32,50.13,1
33,49.175,1
34,48.2225,1
35,47.269999999999996,1
36,46.3175,1
37,45.370000000000005,1
38,44.425,1
39,43.480000000000004,1
40,42.535,1
41,41.595,1
42,40.655,1
43,39.7225,1
44,38.79,1
45,37.86,1
46,36.9375,1
47,36.015,1
48,35.1,1
49,34.1925,1
50,33.287499999999994,1
51,32.39,1
52,31.5,1
53,30.6125,1
54,29.7375,1
55,28.865,1
56,28.002499999999998,1
57,27.145,1
58,26.2925,1
59,25.4475,1
60,24.61,1
61,23.77,1
62,22.947499999999998,1
63,22.125,1
64,21.310000000000002,1
65,20.5,1
66,19.697499999999998,1
67,18.9025,1
68,18.1175,1
69,17.34,1
70,16.5775,1
71,15.825,1
72,15.09,1
73,14.3625,1
74,13.655,1
75,12.96,1
76,12.275,1
77,11.61,1
78,10.9625,1
79,10.3325,1
80,9.72,1
81,9.1275,1
82,8.557500000000001,1
83,8.01,1
84,7.4825,1
85,6.98,1
86,6.4975,1
87,6.04,1
88,5.605,1
89,5.1975,1
90,4.8175,1
91,4.4675,1
92,4.145,1
93,3.8475,1
94,3.5825,1
95,3.3425000000000002,1
96,3.13,1
97,2.935,1
98,2.765,1
99,2.6075,1
100,2.4525,1
101,2.3075,1
102,2.17,1
103,2.035,1
104,1.9075,1
105,1.7875,1
106,1.67,1
107,1.56,1
108,1.455,1
109,1.355,1
110,1.2575,1
111,1.1675,1
112,1.0775000000000001,1
113,0.9975,1
114,0.92,1
115,0.85,1
116,0.785,1
117,0.725,1
118,0.6675,1
119,0.6174999999999999,1
