age,m_life_remain,m_yhl
0,76.0975,1
1,75.57249999999999,1
2,74.6075,1
3,73.63,1
4,72.645,1
5,71.655,1
6,70.6675,1
7,69.6775,1
8,68.6875,1
9,67.695,1
10,66.6975,1
11,65.7075,1
12,64.715,1
13,63.725,1
14,62.735,1
15,61.755,1
16,60.7825,1
17,59.8175,1
18,58.8575,1
19,57.9075,1
20,56.96,1
21,56.025,1
22,55.0925,1
23,54.17,1
24,53.25,1
25,52.33,1
26,51.41,1
27,50.49,1
28,49.5725,1
29,48.6525,1
30,47.7375,1
31,46.82,1
32,45.905,1
33,44.99,1
34,44.0775,1
35,43.165,1
36,42.25,1
37,41.34,1
38,40.427499999999995,1
39,39.519999999999996,1
40,38.61,1
41,37.7025,1
42,36.8,1
43,35.8975,1
44,34.9975,1
45,34.1,1
46,33.2125,1
47,32.325,1
48,31.45,1
49,30.575,1
50,29.71,1
51,28.86,1
52,28.0125,1
53,27.177500000000002,1
54,26.355,1
55,25.5375,1
56,24.735,1
57,23.939999999999998,1
58,23.1575,1
59,22.38,1
60,21.6175,1
61,20.8625,1
62,20.1175,1
63,19.3825,1
64,18.6525,1
65,17.927500000000002,1
66,17.2125,1
67,16.502499999999998,1
68,15.8,1
69,15.105,1
70,14.4225,1
71,13.7475,1
72,13.085,1
73,12.4375,1
74,11.8025,1
75,11.18,1
76,10.575,1
77,9.9875,1
78,9.4175,1
79,8.8625,1
80,8.3225,1
81,7.8025,1
82,7.3025,1
83,6.8225,1
84,6.3625,1
85,5.925,1
86,5.5075,1
87,5.109999999999999,1
88,4.7375,1
89,4.3925,1
90,4.07,1
91,3.77,1
92,3.495,1
93,3.245,1
94,3.0225,1
95,2.8275,1
96,2.6550000000000002,1
97,2.505,1
98,2.3674999999999997,1
99,2.2475,1
100,2.13,1
101,2.02,1
102,1.91,1
103,1.8075,1
104,1.7075,1
105,1.61,1
106,1.5175,1
107,1.4275,1
108,1.3475000000000001,1
109,1.2675,1
110,1.1875,1
111,1.11,1
112,1.04,1
113,0.97,1
114,0.905,1
115,0.8425,1
116,0.7825,1
117,0.725,1
118,0.6675,1
119,0.6174999999999999,1
